************* M U N E E B   S C B ***************
1 Date: 16/08/2022, Payee Transfer , Amount: 425095
2 Date: 13/08/2022, Payee Transfer , Amount: 856257
3 Date: 13/08/2022, Payee Transfer , Amount: 21304
4 Date: 09/08/2022, Payee Transfer , Amount: 222209
5 Date: 06/08/2022, Payee Transfer , Amount: 222209
6 Date: 06/08/2022, Payee Transfer , Amount: 411177
7 Date: 06/08/2022, Payee Transfer , Amount: 444524
8 Date: 06/08/2022, Payee Transfer , Amount: 22261
9 Date: 30/07/2022, Payee Transfer , Amount: 23977
10 Date: 28/07/2022, Payee Transfer , Amount: 470756
11 Date: 28/07/2022, Payee Transfer , Amount: 698211
12 Date: 27/07/2022, Payee Transfer , Amount: 466884
13 Date: 27/07/2022, Payee Transfer , Amount: 91684
14 Date: 19/07/2022, Payee Transfer , Amount: 112977
15 Date: 19/07/2022, Payee Transfer , Amount: 53537
16 Date: 19/07/2022, Payee Transfer , Amount: 289414
17 Date: 19/07/2022, Payee Transfer , Amount: 212180
18 Date: 19/07/2022, Payee Transfer , Amount: 106090
19 Date: 19/07/2022, Payee Transfer , Amount: 535297
20 Date: 18/07/2022, Payee Transfer , Amount: 22760
